"year","ctr_code","RGN21NM","geography_code","geography_name","sex_name","age_code","LE","QALE"
2019,"E","East of England","E06000034","Thurrock","Male",0,78.8149916052686,66.9755282760269
2019,"E","East of England","E06000055","Bedford","Male",0,79.3303732457278,67.3133802391823
2019,"E","East of England","E06000056","Central Bedfordshire","Male",0,80.9018730238572,68.5850914916749
2019,"E","East of England","E07000008","Cambridge","Male",0,81.2591207915588,68.8331933039826
2019,"E","East of England","E07000009","East Cambridgeshire","Male",0,82.0406262346084,69.4921379553966
2019,"E","East of England","E07000010","Fenland","Male",0,79.0288043870649,67.1385295331831
2019,"E","East of England","E07000011","Huntingdonshire","Male",0,81.6392350641249,69.1920892262032
2019,"E","East of England","E07000012","South Cambridgeshire","Male",0,83.3140374602262,70.4810005653449
2019,"E","East of England","E07000066","Basildon","Male",0,79.4285338302642,67.4432360671789
2019,"E","East of England","E07000067","Braintree","Male",0,80.5067456825817,68.3214119065813
2019,"E","East of England","E07000068","Brentwood","Male",0,81.545077031552,69.1209533579237
2019,"E","East of England","E07000069","Castle Point","Male",0,79.9563135533041,67.8797387155833
2019,"E","East of England","E07000070","Chelmsford","Male",0,81.7816279229608,69.2826032400295
2019,"E","East of England","E07000071","Colchester","Male",0,80.5779549515215,68.3225864354392
2019,"E","East of England","E07000072","Epping Forest","Male",0,80.8124314999041,68.5472259379095
2019,"E","East of England","E07000073","Harlow","Male",0,79.3394019741282,67.3930925812042
2019,"E","East of England","E07000074","Maldon","Male",0,81.465226252829,68.9939755322565
2019,"E","East of England","E07000075","Rochford","Male",0,81.9867498330326,69.4735708164433
2019,"E","East of England","E07000076","Tendring","Male",0,78.4026389532526,66.5964866025274
2019,"E","East of England","E07000077","Uttlesford","Male",0,83.4957456714979,70.6334840670225
2019,"E","East of England","E07000095","Broxbourne","Male",0,80.2173400560166,68.030148353131
2019,"E","East of England","E07000096","Dacorum","Male",0,81.5892441875286,69.1505152409369
2019,"E","East of England","E07000098","Hertsmere","Male",0,79.742538918792,67.6919697973339
2019,"E","East of England","E07000099","North Hertfordshire","Male",0,81.6602470279464,69.217763461126
2019,"E","East of England","E07000102","Three Rivers","Male",0,81.9976187602307,69.4484790538144
2019,"E","East of England","E07000103","Watford","Male",0,79.9278829466985,67.8250687112137
2019,"E","East of England","E07000143","Breckland","Male",0,80.2937227847241,68.1300874720535
2019,"E","East of England","E07000144","Broadland","Male",0,81.9395931043223,69.4161846274764
2019,"E","East of England","E07000145","Great Yarmouth","Male",0,79.0901743794596,67.1684123641677
2019,"E","East of England","E07000146","King's Lynn and West Norfolk","Male",0,79.7907775654027,67.6783074064238
2019,"E","East of England","E07000147","North Norfolk","Male",0,81.4257436208963,69.0028517974671
2019,"E","East of England","E07000148","Norwich","Male",0,78.2926335038961,66.5058578312705
2019,"E","East of England","E07000149","South Norfolk","Male",0,81.9557234764282,69.3952387305117
2019,"E","East of England","E07000200","Babergh","Male",0,82.6045307189106,69.9444639941226
2019,"E","East of England","E07000202","Ipswich","Male",0,79.5954530991345,67.5385455414137
2019,"E","East of England","E07000203","Mid Suffolk","Male",0,82.3407830849629,69.7644429758773
2019,"E","East of England","E07000240","St Albans","Male",0,82.2636690516178,69.6415812973625
2019,"E","East of England","E07000241","Welwyn Hatfield","Male",0,81.1450729205559,68.7896364431653
2019,"E","East of England","E07000242","East Hertfordshire","Male",0,82.0296237112774,69.4855413110493
2019,"E","East of England","E07000243","Stevenage","Male",0,79.703500739099,67.6963882564646
2019,"E","East of England","E07000244","East Suffolk","Male",0,80.723986001976,68.4208306707059
2019,"E","East of England","E07000245","West Suffolk","Male",0,81.2892444444649,68.888694535022
2019,"E","London","E09000002","Barking and Dagenham","Female",0,81.8021917865732,65.8101890998806
2019,"E","London","E09000003","Barnet","Female",0,85.8165444114854,68.5157300081691
2019,"E","London","E09000004","Bexley","Female",0,83.9184245623357,67.2201112197493
2019,"E","London","E09000005","Brent","Female",0,84.9025167130169,67.8263991363183
2019,"E","London","E09000006","Bromley","Female",0,85.2041443168972,68.098961166271
2019,"E","London","E09000007","Camden","Female",0,87.3587565661616,69.3498661044088
2019,"E","London","E09000008","Croydon","Female",0,83.8929428904057,67.2100479213404
2019,"E","London","E09000009","Ealing","Female",0,84.318421483179,67.4861246065045
2019,"E","London","E09000010","Enfield","Female",0,84.5393825864299,67.5949881774618
2019,"E","London","E09000011","Greenwich","Female",0,82.9427157730757,66.5512146442304
2019,"E","London","E09000012","Hackney","Female",0,83.6843356085927,67.0422753192948
2019,"E","London","E09000013","Hammersmith and Fulham","Female",0,84.1520143746986,67.3360549640305
2019,"E","London","E09000014","Haringey","Female",0,84.6678571560361,67.6920264419221
2019,"E","London","E09000015","Harrow","Female",0,85.5997110985281,68.3413839089377
2019,"E","London","E09000016","Havering","Female",0,83.7180252888734,67.1099403070418
2019,"E","London","E09000017","Hillingdon","Female",0,84.0034755887106,67.3207391016635
2019,"E","London","E09000018","Hounslow","Female",0,83.898813090768,67.2014999653136
2019,"E","London","E09000019","Islington","Female",0,83.3258506973004,66.8336941417768
2019,"E","London","E09000020","Kensington and Chelsea","Female",0,87.9229401748516,69.8295275961972
2019,"E","London","E09000021","Kingston upon Thames","Female",0,85.2061068828133,68.1148519240169
2019,"E","London","E09000022","Lambeth","Female",0,83.8242375372738,67.120364065254
2019,"E","London","E09000023","Lewisham","Female",0,83.2988005773549,66.8139209315573
2019,"E","London","E09000024","Merton","Female",0,84.5536745454049,67.7075123721585
2019,"E","London","E09000025","Newham","Female",0,83.0107765961392,66.577942022037
2019,"E","London","E09000026","Redbridge","Female",0,84.519546935736,67.6483212531802
2019,"E","London","E09000027","Richmond upon Thames","Female",0,86.5678392521138,68.9915221752053
2019,"E","London","E09000028","Southwark","Female",0,84.3313638509561,67.493082961459
2019,"E","London","E09000029","Sutton","Female",0,84.4946767778161,67.6412966927921
2019,"E","London","E09000030","Tower Hamlets","Female",0,83.3517016811697,66.86206797846
2019,"E","London","E09000031","Waltham Forest","Female",0,84.1496967439211,67.3606199432568
2019,"E","London","E09000032","Wandsworth","Female",0,84.7184299277128,67.7861284088232
2019,"E","London","E09000033","Westminster","Female",0,87.0609592194707,69.2729121279243
2019,"E","London","E09000002","Barking and Dagenham","Male",0,77.3071661590898,66.0758741441223
2019,"E","London","E09000003","Barnet","Male",0,82.1390052855506,69.7903423801245
2019,"E","London","E09000004","Bexley","Male",0,80.1560243398168,68.2736415161532
2019,"E","London","E09000005","Brent","Male",0,80.5985540096098,68.5771086933564
2019,"E","London","E09000006","Bromley","Male",0,81.7632993527314,69.5262350976532
2019,"E","London","E09000007","Camden","Male",0,82.8484071881349,70.2910011402734
2019,"E","London","E09000008","Croydon","Male",0,79.8059071810334,67.9809346630644
2019,"E","London","E09000009","Ealing","Male",0,80.0628029374559,68.1561241471706
2019,"E","London","E09000010","Enfield","Male",0,80.3986976797763,68.448567429864
2019,"E","London","E09000011","Greenwich","Male",0,79.3763464910306,67.6558502309843
2019,"E","London","E09000012","Hackney","Male",0,79.3880166125817,67.6465222181908
2019,"E","London","E09000013","Hammersmith and Fulham","Male",0,79.2794030327406,67.5802603790896
2019,"E","London","E09000014","Haringey","Male",0,79.8651042968188,68.0269803104295
2019,"E","London","E09000015","Harrow","Male",0,82.3761383500166,69.9506476171823
2019,"E","London","E09000016","Havering","Male",0,79.9878130130974,68.1614366459009
2019,"E","London","E09000017","Hillingdon","Male",0,79.9131610235351,68.0637009153872
2019,"E","London","E09000018","Hounslow","Male",0,79.5777890501164,67.8134219676509
2019,"E","London","E09000019","Islington","Male",0,79.6169006761858,67.8349020257773
2019,"E","London","E09000020","Kensington and Chelsea","Male",0,84.1140163734849,71.2460378532585
2019,"E","London","E09000021","Kingston upon Thames","Male",0,81.8948696472352,69.6209121179317
2019,"E","London","E09000022","Lambeth","Male",0,78.747974382831,67.1938184717166
2019,"E","London","E09000023","Lewisham","Male",0,79.0391769105839,67.392773031505
2019,"E","London","E09000024","Merton","Male",0,80.5416548498309,68.5826884215967
2019,"E","London","E09000025","Newham","Male",0,79.0040289031319,67.3675967175357
2019,"E","London","E09000026","Redbridge","Male",0,80.6982155271276,68.6890524601432
2019,"E","London","E09000027","Richmond upon Thames","Male",0,82.5560563167291,70.110221042932
2019,"E","London","E09000028","Southwark","Male",0,79.768487380363,67.9640441375883
2019,"E","London","E09000029","Sutton","Male",0,80.6198373534443,68.6135119162721
2019,"E","London","E09000030","Tower Hamlets","Male",0,79.9692709005594,68.1489679654302
2019,"E","London","E09000031","Waltham Forest","Male",0,79.9222477708772,68.0740255226586
2019,"E","London","E09000032","Wandsworth","Male",0,80.1368207563589,68.273830799019
2019,"E","London","E09000033","Westminster","Male",0,84.1697422547498,71.3077788632825
2019,"E","North East","E06000001","Hartlepool","Female",0,81.4082247135335,64.7804832811403
2019,"E","North East","E06000002","Middlesbrough","Female",0,80.3665211872056,64.0215738290977
2019,"E","North East","E06000003","Redcar and Cleveland","Female",0,82.0290770345466,65.2385154267196
2019,"E","North East","E06000004","Stockton-on-Tees","Female",0,81.5403996998247,64.8658287587327
2019,"E","North East","E06000005","Darlington","Female",0,81.6366546518008,64.948682538041
2019,"E","North East","E06000047","County Durham","Female",0,81.6416228961352,64.9505574831935
2019,"E","North East","E06000057","Northumberland","Female",0,83.0564561015869,65.9739154690024
2019,"E","North East","E08000021","Newcastle upon Tyne","Female",0,81.8249865142791,65.0984937046508
