"geography_name","sex_name","age_code","age_name","year","N","source","mean_pcs","mean_mcs","mean_pcs_wt","mean_mcs_wt","eq5d_util_lf_6v_wt"
"East of England","Female",34,"30-34",2019,121,"US",53.2669421487603,42.5350413223141,52.9801195645988,41.7235385109537,0.80543800319172
"East of England","Female",39,"35-39",2019,96,"US",52.7596875,46.1603125,51.9192067667844,45.8448792930485,0.83048833732897
"East of England","Female",44,"40-44",2019,139,"US",52.1434532374101,45.2334532374101,51.2711755440351,46.0423443066976,0.823602940948356
"East of England","Female",49,"45-49",2019,123,"US",50.8656910569106,46.3469105691057,51.957536716603,47.6299335674555,0.84699890677122
"East of England","Female",54,"50-54",2019,142,"US",50.3714788732394,46.3914788732394,49.7821268284981,46.3399372800049,0.807128891244987
"East of England","Female",59,"55-59",2019,148,"US",47.7450675675676,48.5747297297297,48.0655148390891,48.1246508878767,0.802616744138303
"East of England","Female",64,"60-64",2019,120,"US",47.0399166666667,49.59875,46.229168793098,50.078956980035,0.798910661918067
"East of England","Female",69,"65-69",2019,135,"US",46.0591111111111,50.7645925925926,45.1442800528266,51.3070242729645,0.797531523201937
"East of England","Female",74,"70-74",2019,113,"US",45.3448672566372,51.0538053097345,45.2206221519279,51.4681457101049,0.799735417327555
"East of England","Female",79,"75-79",2019,75,"US",40.4798666666667,51.2784,39.9821795670541,51.2693919587969,0.740394443968635
"East of England","Female",84,"80-84",2019,49,"US",40.3389795918367,52.9267346938776,40.6064391776433,54.4092366219805,0.774697793917593
"East of England","Female",85,"85_plus",2019,35,"US",34.9614285714286,52.4611428571429,37.0452453535728,52.4892592709315,0.717087279054946
"East of England","Male",20,"under_20",2019,64,"US",55.9865625,47.219375,55.6011878890852,45.2093176362439,0.878997774348475
"East of England","Male",24,"20-24",2019,71,"US",54.886338028169,44.5833802816901,55.9559806174038,42.8456131376964,0.862953391926635
"East of England","Male",29,"25-29",2019,62,"US",53.6216129032258,48.3024193548387,54.6835426546559,49.1010275296565,0.89767448930772
"East of England","Male",34,"30-34",2019,78,"US",53.420641025641,48.6464102564103,54.9860378112157,46.727456001144,0.882630740002262
"East of England","Male",39,"35-39",2019,88,"US",54.8254545454546,46.0547727272727,54.3117429387281,47.1146180401784,0.875754674907369
"East of England","Male",44,"40-44",2019,98,"US",52.8831632653061,47.9748979591837,52.8395999321593,47.7109395158802,0.859726372870654
"East of England","Male",49,"45-49",2019,115,"US",51.9780869565217,47.5057391304348,52.0729325407638,46.2296409718468,0.836102787282565
"East of England","Male",54,"50-54",2019,95,"US",49.7124210526316,49.01,48.0069101689012,48.13631251126,0.802030083648402
"East of England","Male",59,"55-59",2019,92,"US",50.2291304347826,50.1866304347826,49.3604524611029,50.5488965799439,0.83891409331586
"East of England","Male",64,"60-64",2019,110,"US",47.3112727272727,50.17,46.1042140818081,50.8219657083277,0.803943367250143
"East of England","Male",69,"65-69",2019,98,"US",47.8598979591837,53.3242857142857,47.7897144383405,52.8981067829113,0.839583970100978
"East of England","Male",74,"70-74",2019,107,"US",46.161308411215,54.7055140186916,46.4304245005812,55.128732032959,0.841619158670516
"East of England","Male",79,"75-79",2019,76,"US",45.3942105263158,52.9832894736842,45.5501022414578,53.5120309139189,0.819997804611148
"East of England","Male",84,"80-84",2019,50,"US",38.7616,51.1662,40.1504772783396,52.4282706778793,0.752750621248688
"East of England","Male",85,"85_plus",2019,27,"US",37.6396296296296,52.78,36.8322589144985,52.939180881827,0.718604345945891
"London","Female",20,"under_20",2019,119,"US",54.8779831932773,40.5100840336134,56.3681581647997,39.5863088921953,0.837434121867121
"London","Female",24,"20-24",2019,164,"US",52.6029878048781,43.1543902439024,53.5731923102745,44.3975659778117,0.8404262067107
"London","Female",29,"25-29",2019,153,"US",53.4133333333333,44.1296732026144,53.9663536236775,43.1461697546154,0.834334760681427
"London","Female",34,"30-34",2019,188,"US",53.0918617021277,42.9953191489362,54.360687897685,43.5803440688744,0.844521537008721
"London","Female",39,"35-39",2019,150,"US",50.6105333333333,45.4718,50.5118225386312,40.9038046253095,0.762002431576088
"London","Female",44,"40-44",2019,198,"US",50.3271717171717,46.9521717171717,52.3161468044178,45.0827836215575,0.82886857376564
"London","Female",49,"45-49",2019,207,"US",50.3828019323672,46.6957971014493,51.3502496596274,45.4461491344396,0.819101981948376
