"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,
North Ayrshire,"1,642 ",9 ,4 ,-,-,7 ,4 ,10 ,17 ,14 ,19 ,35 ,46 ,79 ,116 ,142 ,201 ,277 ,269 ,237 ,156 ,North Ayrshire,784,6,3,-,-,7,3,9,9,8,15,20,30,44,71,80,118,136,114,80,31,North Ayrshire,858,3,1,-,-,-,1,1,8,6,4,15,16,35,45,62,83,141,155,157,125,,,,,
North Lanarkshire,"3,439 ",28 ,8 ,-,5 ,13 ,10 ,22 ,28 ,29 ,59 ,75 ,111 ,164 ,258 ,373 ,452 ,614 ,539 ,393 ,258 ,North Lanarkshire,"1,712",15,5,-,3,8,8,18,17,16,37,46,61,104,161,217,254,308,227,143,64,North Lanarkshire,"1,727",13,3,-,2,5,2,4,11,13,22,29,50,60,97,156,198,306,312,250,194,,,,,
Orkney Islands,195 ,-,-,-,-,2 ,-,-,3 ,1 ,2 ,2 ,9 ,8 ,13 ,14 ,14 ,33 ,29 ,27 ,38 ,Orkney Islands,104,-,-,-,-,2,-,-,2,-,2,2,4,8,12,11,8,19,15,8,11,Orkney Islands,91,-,-,-,-,-,-,-,1,1,-,-,5,-,1,3,6,14,14,19,27,,,,,
Perth and Kinross,"1,529 ",2 ,-,-,1 ,1 ,6 ,10 ,7 ,11 ,14 ,15 ,38 ,54 ,63 ,120 ,202 ,236 ,259 ,261 ,229 ,Perth and Kinross,742,1,-,-,-,1,6,9,4,9,6,13,24,36,38,69,118,127,111,108,62,Perth and Kinross,787,1,-,-,1,-,-,1,3,2,8,2,14,18,25,51,84,109,148,153,167,,,,,
Renfrewshire,"2,053 ",11 ,-,3 ,1 ,2 ,11 ,14 ,11 ,27 ,28 ,55 ,84 ,95 ,153 ,198 ,268 ,297 ,301 ,274 ,220 ,Renfrewshire,993,5,-,2,1,2,9,12,9,22,10,40,55,63,91,125,142,137,133,90,45,Renfrewshire,"1,060",6,-,1,-,-,2,2,2,5,18,15,29,32,62,73,126,160,168,184,175,,,,,
Scottish Borders,"1,305 ",1 ,2 ,2 ,1 ,2 ,8 ,3 ,5 ,7 ,12 ,21 ,26 ,50 ,72 ,97 ,150 ,244 ,194 ,227 ,181 ,Scottish Borders,618,1,2,1,-,2,8,2,2,4,7,15,14,25,48,60,84,111,96,88,48,Scottish Borders,687,-,-,1,1,-,-,1,3,3,5,6,12,25,24,37,66,133,98,139,133,,,,,
Shetland Islands,177 ,-,-,-,-,-,2 ,1 ,-,2 ,3 ,6 ,10 ,6 ,10 ,15 ,16 ,32 ,32 ,23 ,19 ,Shetland Islands,86,-,-,-,-,-,2,-,-,2,2,4,7,6,7,10,7,17,9,12,1,Shetland Islands,91,-,-,-,-,-,-,1,-,-,1,2,3,-,3,5,9,15,23,11,18,,,,,
South Ayrshire,"1,474 ",14 ,-,1 ,2 ,6 ,4 ,7 ,9 ,4 ,14 ,22 ,39 ,56 ,64 ,133 ,180 ,229 ,257 ,228 ,205 ,South Ayrshire,653,7,-,1,1,4,2,6,7,2,10,13,22,32,46,72,92,112,111,70,43,South Ayrshire,821,7,-,-,1,2,2,1,2,2,4,9,17,24,18,61,88,117,146,158,162,,,,,
South Lanarkshire,"3,292 ",19 ,4 ,1 ,4 ,9 ,11 ,14 ,20 ,22 ,44 ,54 ,86 ,147 ,219 ,321 ,474 ,536 ,524 ,442 ,341 ,South Lanarkshire,"1,565",10,2,1,1,5,10,8,9,10,21,32,55,83,125,191,282,269,222,164,65,South Lanarkshire,"1,727",9,2,-,3,4,1,6,11,12,23,22,31,64,94,130,192,267,302,278,276,,,,,
Stirling,890 ,5 ,-,-,1 ,3 ,4 ,2 ,5 ,8 ,14 ,15 ,20 ,34 ,39 ,83 ,110 ,148 ,151 ,122 ,126 ,Stirling,406,4,-,-,1,3,4,2,4,6,9,8,12,21,29,52,57,72,57,37,28,Stirling,484,1,-,-,-,-,-,-,1,2,5,7,8,13,10,31,53,76,94,85,98,,,,,
West Dunbartonshire,"1,145 ",6 ,1 ,2 ,-,2 ,7 ,10 ,8 ,18 ,18 ,26 ,35 ,59 ,71 ,99 ,163 ,192 ,187 ,139 ,102 ,West Dunbartonshire,541,4,1,1,-,2,5,7,5,14,10,17,20,46,36,57,91,86,72,50,17,West Dunbartonshire,604,2,-,1,-,-,2,3,3,4,8,9,15,13,35,42,72,106,115,89,85,,,,,
West Lothian,"1,412 ",7 ,1 ,-,3 ,2 ,6 ,4 ,13 ,18 ,14 ,29 ,60 ,77 ,108 ,139 ,213 ,194 ,222 ,168 ,134 ,West Lothian,718,3,1,-,1,2,6,2,7,15,11,15,36,42,72,67,136,102,101,68,31,West Lothian,694,4,-,-,2,-,-,2,6,3,3,14,24,35,36,72,77,92,121,100,103,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
