SCOTLAND,"58,108",165,33,16,27,97,193,263,372,577,829,"1,151","1,647","2,291","3,233","4,369","6,238","7,605","9,570","9,699","9,733",SCOTLAND,"28,489",104,15,8,13,65,139,180,255,368,527,717,993,"1,290","1,862","2,493","3,510","4,013","4,684","4,188","3,065",SCOTLAND,"29,619",61,18,8,14,32,54,83,117,209,302,434,654,"1,001","1,371","1,876","2,728","3,592","4,886","5,511","6,668",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,299",1,-,-,-,1,4,4,5,9,12,15,23,50,61,81,132,179,220,218,284,Scottish Borders,621,-,-,-,-,-,4,1,3,6,6,12,15,27,31,48,68,97,116,100,87,Scottish Borders,678,1,-,-,-,1,-,3,2,3,6,3,8,23,30,33,64,82,104,118,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,199,1,-,-,-,-,-,1,1,-,4,5,6,9,14,13,20,33,33,28,31,Shetland Islands,105,-,-,-,-,-,-,1,1,-,2,3,2,3,6,10,10,21,18,16,12,Shetland Islands,94,1,-,-,-,-,-,-,-,-,2,2,4,6,8,3,10,12,15,12,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,"1,513",3,1,1,-,5,4,9,6,17,19,22,25,42,71,122,164,181,259,289,273,South Ayrshire,729,1,1,-,-,4,3,7,4,14,12,14,16,25,38,61,92,95,129,126,87,South Ayrshire,784,2,-,1,-,1,1,2,2,3,7,8,9,17,33,61,72,86,130,163,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,"3,522",5,-,-,3,8,10,20,22,40,52,57,98,124,201,298,382,492,580,600,530,South Lanarkshire,"1,741",4,-,-,2,7,9,16,16,26,30,46,61,73,119,174,227,250,277,244,160,South Lanarkshire,"1,781",1,-,-,1,1,1,4,6,14,22,11,37,51,82,124,155,242,303,356,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,968,3,1,-,-,1,7,3,3,4,15,18,28,37,60,67,90,131,167,175,158,Stirling,479,2,-,-,-,-,7,3,1,4,11,11,13,22,29,47,49,66,74,92,48,Stirling,489,1,1,-,-,1,-,-,2,-,4,7,15,15,31,20,41,65,93,83,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,"1,046",4,2,-,1,3,5,3,5,11,18,23,34,49,57,79,134,138,152,166,162,West Dunbartonshire,494,3,-,-,1,2,3,3,3,5,12,13,18,25,31,46,77,80,70,68,34,West Dunbartonshire,552,1,2,-,-,1,2,-,2,6,6,10,16,24,26,33,57,58,82,98,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,"1,592",10,2,1,-,3,3,8,6,20,24,37,43,69,102,114,190,257,280,230,193,West Lothian,756,7,1,1,-,-,3,3,5,13,14,22,27,29,60,66,91,129,134,89,62,West Lothian,836,3,1,-,-,3,-,5,1,7,10,15,16,40,42,48,99,128,146,141,131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
