"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,796,3,-,-,-,1,2,2,4,3,12,13,32,25,43,57,85,126,137,125,126,Midlothian,354,2,-,-,-,-,-,1,2,2,7,10,18,19,19,33,46,62,61,44,28,Midlothian,442,1,-,-,-,1,2,1,2,1,5,3,14,6,24,24,39,64,76,81,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,947,4,-,-,-,4,3,4,7,6,8,16,21,33,37,80,112,137,184,163,128,Moray,465,2,-,-,-,3,2,2,6,5,6,7,13,18,23,49,61,74,94,64,36,Moray,482,2,-,-,-,1,1,2,1,1,2,9,8,15,14,31,51,63,90,99,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,367,2,-,-,1,2,-,-,2,1,1,11,7,8,19,31,43,45,72,67,55,Na h-Eileanan Siar2 ,811,6,-,1,1,4,8,10,8,12,14,24,20,46,57,88,109,122,127,99,55,Na h-Eileanan Siar2 ,181,-,-,-,-,-,-,-,1,1,-,6,-,1,7,10,12,16,34,47,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,664",9,1,1,1,5,9,12,10,17,23,37,41,78,99,160,188,245,260,262,206,North Ayrshire,186,2,-,-,1,2,-,-,1,-,1,5,7,7,12,21,31,29,38,20,9,North Ayrshire,853,3,1,-,-,1,1,2,2,5,9,13,21,32,42,72,79,123,133,163,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,558",16,5,2,1,10,16,17,34,47,68,99,138,181,245,316,476,533,532,499,323,North Lanarkshire,"1,779",11,2,1,1,5,13,12,25,32,52,57,76,113,145,161,283,290,239,178,83,North Lanarkshire,"1,779",5,3,1,-,5,3,5,9,15,16,42,62,68,100,155,193,243,293,321,240,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,255,1,-,-,1,-,1,-,1,2,1,2,8,14,21,30,26,32,37,39,39,Orkney Islands,133,1,-,-,1,-,1,-,1,1,1,2,7,12,12,18,14,19,20,11,12,Orkney Islands,122,-,-,-,-,-,-,-,-,1,-,-,1,2,9,12,12,13,17,28,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,577",6,1,-,2,6,4,9,6,15,19,16,35,64,87,105,157,206,284,307,248,Perth and Kinross,740,3,-,-,2,1,4,7,4,6,15,11,20,38,51,56,85,99,141,120,77,Perth and Kinross,837,3,1,-,-,5,-,2,2,9,4,5,15,26,36,49,72,107,143,187,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"1,887",5,1,1,3,4,16,12,13,21,30,38,51,96,126,182,234,296,293,244,221,Renfrewshire,919,1,1,-,2,3,13,9,10,17,16,25,31,57,72,106,134,153,127,89,53,Renfrewshire,968,4,-,1,1,1,3,3,3,4,14,13,20,39,54,76,100,143,166,155,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,299",3,1,-,1,7,6,4,6,10,13,19,22,44,63,83,142,188,267,229,191,Scottish Borders,630,1,-,-,-,7,5,4,4,4,8,11,13,25,38,55,82,105,125,80,63,Scottish Borders,669,2,1,-,1,-,1,-,2,6,5,8,9,19,25,28,60,83,142,149,128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,209,2,-,-,-,4,2,1,2,5,2,4,9,1,14,11,20,25,32,33,42,Shetland Islands,103,1,-,-,-,3,2,1,2,4,1,3,6,-,13,10,11,14,12,14,6,Shetland Islands,106,1,-,-,-,1,-,-,-,1,1,1,3,1,1,1,9,11,20,19,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
