SCOTLAND,"53,661",238,37,27,26,121,205,277,355,522,782,"1,105","1,541","2,116","3,314","4,227","5,792","7,440","9,035","8,761","7,740",SCOTLAND,"25,913",139,19,17,14,78,153,188,251,334,513,635,850,"1,256","1,955","2,460","3,291","3,817","4,300","3,513","2,130",SCOTLAND,"27,748",99,18,10,12,43,52,89,104,188,269,470,691,860,"1,359","1,767","2,501","3,623","4,735","5,248","5,610",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midlothian,782,6,-,1,-,3,1,2,3,5,13,15,18,26,47,69,85,120,136,121,111,Midlothian,375,4,-,1,-,1,1,1,2,3,9,10,9,16,28,40,54,62,65,40,29,Midlothian,407,2,-,-,-,2,-,1,1,2,4,5,9,10,19,29,31,58,71,81,82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moray,983,2,-,-,1,2,3,5,4,11,8,15,26,30,53,83,94,152,174,161,159,Moray,482,2,-,-,-,1,3,5,2,7,7,10,15,19,32,46,57,83,86,58,49,Moray,501,-,-,-,1,1,-,-,2,4,1,5,11,11,21,37,37,69,88,103,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na h-Eileanan Siar2 ,365,3,-,-,-,1,3,1,5,1,1,4,11,13,20,25,38,47,59,75,58,Na h-Eileanan Siar2 ,169,-,-,-,-,1,2,-,3,-,1,3,5,6,11,19,19,26,33,26,14,Na h-Eileanan Siar2 ,196,3,-,-,-,-,1,1,2,1,-,1,6,7,9,6,19,21,26,49,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Ayrshire,"1,535",12,-,-,2,6,4,3,12,20,18,33,43,56,97,135,187,217,235,235,220,North Ayrshire,756,9,-,-,1,5,4,1,8,16,15,17,19,35,64,74,114,102,100,112,60,North Ayrshire,779,3,-,-,1,1,-,2,4,4,3,16,24,21,33,61,73,115,135,123,160,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Lanarkshire,"3,381",18,2,1,2,13,12,18,26,28,73,85,109,140,245,291,420,498,556,479,365,North Lanarkshire,"1,606",12,2,1,1,8,10,15,22,17,48,51,53,86,137,173,229,234,234,195,78,North Lanarkshire,"1,775",6,-,-,1,5,2,3,4,11,25,34,56,54,108,118,191,264,322,284,287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orkney Islands,209,-,-,-,-,-,1,1,1,-,1,3,6,9,12,18,22,35,34,27,39,Orkney Islands,100,-,-,-,-,-,-,1,1,-,1,2,3,3,10,12,13,20,13,6,15,Orkney Islands,109,-,-,-,-,-,1,-,-,-,-,1,3,6,2,6,9,15,21,21,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth and Kinross,"1,496",1,3,-,-,2,6,5,1,9,17,21,32,45,87,102,144,186,269,293,273,Perth and Kinross,717,1,1,-,-,-,4,3,-,7,11,10,19,27,53,60,87,92,141,119,82,Perth and Kinross,779,-,2,-,-,2,2,2,1,2,6,11,13,18,34,42,57,94,128,174,191,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Renfrewshire,"1,838",6,1,1,1,4,5,10,15,16,42,39,46,67,117,155,199,252,310,304,248,Renfrewshire,916,3,-,-,1,2,4,7,10,11,27,22,27,45,72,87,109,125,150,129,85,Renfrewshire,922,3,1,1,-,2,1,3,5,5,15,17,19,22,45,68,90,127,160,175,163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scottish Borders,"1,234",3,1,-,-,3,5,3,6,11,11,16,26,37,53,85,114,156,230,239,235,Scottish Borders,574,1,1,-,-,3,3,2,4,8,6,8,17,21,33,47,64,84,122,86,64,Scottish Borders,660,2,-,-,-,-,2,1,2,3,5,8,9,16,20,38,50,72,108,153,171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shetland Islands,231,-,-,-,-,1,1,2,2,3,2,2,7,10,15,17,22,23,34,46,44,Shetland Islands,103,-,-,-,-,1,1,2,2,2,-,1,3,6,11,9,12,14,16,17,6,Shetland Islands,128,-,-,-,-,-,-,-,-,1,2,1,4,4,4,8,10,9,18,29,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Ayrshire,"1,412",8,-,-,-,4,3,2,3,9,20,24,29,47,68,95,153,210,264,246,227,South Ayrshire,655,5,-,-,-,2,2,-,1,3,12,12,14,24,38,60,83,118,119,103,59,South Ayrshire,757,3,-,-,-,2,1,2,2,6,8,12,15,23,30,35,70,92,145,143,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Lanarkshire,"3,214",12,2,2,1,5,16,11,22,29,48,64,95,149,186,274,369,441,553,515,420,South Lanarkshire,"1,511",7,-,-,-,5,14,7,15,19,28,32,52,79,110,157,206,231,239,189,121,South Lanarkshire,"1,703",5,2,2,1,-,2,4,7,10,20,32,43,70,76,117,163,210,314,326,299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stirling,782,2,-,2,-,3,1,6,2,7,10,15,21,15,48,53,77,112,135,135,138,Stirling,350,2,-,2,-,3,-,4,-,4,7,7,10,8,29,27,49,51,51,57,39,Stirling,432,-,-,-,-,-,1,2,2,3,3,8,11,7,19,26,28,61,84,78,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Dunbartonshire,"1,043",5,1,1,-,3,3,5,6,14,20,21,42,43,79,90,121,142,154,156,137,West Dunbartonshire,526,3,1,1,-,3,2,4,4,7,18,13,25,25,49,61,74,65,74,63,34,West Dunbartonshire,517,2,-,-,-,-,1,1,2,7,2,8,17,18,30,29,47,77,80,93,103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lothian,"1,424",6,3,1,2,5,8,11,8,16,24,37,50,57,119,119,181,211,224,188,154,West Lothian,667,3,1,1,1,3,5,8,8,10,17,22,27,31,60,57,95,106,105,73,34,West Lothian,757,3,2,-,1,2,3,3,-,6,7,15,23,26,59,62,86,105,119,115,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
