"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,-,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
Renfrewshire,"1,991",7,1,-,3,8,4,6,10,17,36,39,53,103,146,185,251,299,332,262,229,Renfrewshire,983,3,-,-,2,6,2,4,6,15,24,23,35,64,97,109,136,166,153,86,52,Renfrewshire,"1,008",4,1,-,1,2,2,2,4,2,12,16,18,39,49,76,115,133,179,176,177,,,
Scottish Borders,"1,308",5,-,-,2,4,7,4,6,7,12,17,27,49,63,94,141,200,239,207,224,Scottish Borders,605,4,-,-,1,4,5,3,5,6,8,9,18,24,29,54,84,98,115,75,63,Scottish Borders,703,1,-,-,1,-,2,1,1,1,4,8,9,25,34,40,57,102,124,132,161,,,
Shetland Islands,165,-,-,-,2,1,3,-,2,1,-,3,6,6,15,10,17,21,32,20,26,Shetland Islands,86,-,-,-,2,1,2,-,1,1,-,1,4,1,8,6,10,16,19,4,10,Shetland Islands,79,-,-,-,-,-,1,-,1,-,-,2,2,5,7,4,7,5,13,16,16,,,
South Ayrshire,"1,400",7,3,1,1,3,5,2,4,9,14,14,30,59,74,113,160,209,283,193,216,South Ayrshire,651,4,2,1,1,1,3,1,3,4,7,10,21,35,40,68,89,113,131,61,56,South Ayrshire,749,3,1,-,-,2,2,1,1,5,7,4,9,24,34,45,71,96,152,132,160,,,
South Lanarkshire,"3,290",17,-,1,2,11,12,9,26,22,35,67,93,147,194,303,387,557,588,395,424,South Lanarkshire,"1,554",11,-,1,-,9,10,9,21,16,22,45,53,77,101,180,224,278,257,143,97,South Lanarkshire,"1,736",6,-,-,2,2,2,-,5,6,13,22,40,70,93,123,163,279,331,252,327,,,
Stirling,870,3,-,-,-,1,3,2,1,3,9,22,19,29,47,84,95,150,156,122,124,Stirling,403,1,-,-,-,1,2,-,1,3,5,13,12,14,28,47,44,75,74,55,28,Stirling,467,2,-,-,-,-,1,2,-,-,4,9,7,15,19,37,51,75,82,67,96,,,
West Dunbartonshire,"1,153",14,2,-,1,2,5,10,8,11,18,18,37,52,81,103,134,181,198,150,128,West Dunbartonshire,539,11,2,-,1,2,4,7,6,5,9,11,23,27,51,55,73,87,80,63,22,West Dunbartonshire,614,3,-,-,-,-,1,3,2,6,9,7,14,25,30,48,61,94,118,87,106,,,
West Lothian,"1,490",13,2,2,4,7,6,4,7,22,30,31,51,81,107,169,166,220,208,198,162,West Lothian,718,11,2,2,2,6,4,3,6,9,18,12,32,50,63,97,78,114,90,83,36,West Lothian,772,2,-,-,2,1,2,1,1,13,12,19,19,31,44,72,88,106,118,115,126,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
