"Table DT.13:    Deaths by sex,  age group and Council area, 1997 to 2019",,,,,,,,,,,,,,,,,,,,,All Persons,,,,,,,,,,,,,,,,,,,,,,Males,,,,,,,,,,,,,,,,,,,,,,Females,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,Area,All ages,Age 1,,,,,,,,,,,,,,,,,,,,,,
,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+ ,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,0,1-4,5-,10-,15-,20-,25-,30-,35-,40-,45-,50-,55-,60-,65-,70-,75-,80-,85+,90+,,,
Renfrewshire,"2,018",10,1,-,2,2,11,8,9,23,28,38,66,122,126,178,256,363,296,252,227,Renfrewshire,952,1,1,-,2,1,8,5,7,18,17,24,41,72,70,109,152,166,117,87,54,Renfrewshire,"1,066",9,-,-,-,1,3,3,2,5,11,14,25,50,56,69,104,197,179,165,173,,,
Scottish Borders,"1,282",3,1,-,-,1,4,2,5,11,14,19,32,40,71,80,134,211,233,232,189,Scottish Borders,592,2,1,-,-,1,1,1,3,8,7,9,20,19,47,42,79,111,118,84,39,Scottish Borders,690,1,-,-,-,-,3,1,2,3,7,10,12,21,24,38,55,100,115,148,150,,,
Shetland Islands,224,-,-,-,-,1,3,2,2,5,-,7,8,12,7,14,21,36,30,39,37,Shetland Islands,106,-,-,-,-,-,1,2,2,4,-,6,5,7,5,12,15,17,13,11,6,Shetland Islands,118,-,-,-,-,1,2,-,-,1,-,1,3,5,2,2,6,19,17,28,31,,,
South Ayrshire,"1,465",7,1,1,3,2,4,3,9,13,11,33,36,68,78,110,162,229,249,250,196,South Ayrshire,670,5,1,1,3,2,2,3,9,9,8,19,21,39,47,62,80,113,112,81,53,South Ayrshire,795,2,-,-,-,-,2,-,-,4,3,14,15,29,31,48,82,116,137,169,143,,,
South Lanarkshire,"3,300",9,1,3,2,9,9,14,18,33,42,73,94,141,191,329,422,540,552,475,343,South Lanarkshire,"1,491",6,1,2,1,6,5,10,13,21,27,41,54,82,111,193,224,249,207,163,75,South Lanarkshire,"1,809",3,-,1,1,3,4,4,5,12,15,32,40,59,80,136,198,291,345,312,268,,,
Stirling,939,6,-,1,1,3,2,2,4,12,12,13,31,31,55,68,115,141,156,163,123,Stirling,418,3,-,1,1,2,2,1,3,6,7,8,12,19,31,42,58,70,61,58,33,Stirling,521,3,-,-,-,1,-,1,1,6,5,5,19,12,24,26,57,71,95,105,90,,,
West Dunbartonshire,"1,165",7,2,-,1,4,8,4,4,16,17,39,47,55,68,90,161,184,195,154,109,West Dunbartonshire,536,6,1,-,1,4,6,3,1,8,7,26,33,31,47,42,83,92,79,51,15,West Dunbartonshire,629,1,1,-,-,-,2,1,3,8,10,13,14,24,21,48,78,92,116,103,94,,,
West Lothian,"1,456",5,3,1,2,3,5,9,9,18,20,29,60,81,109,154,205,207,229,182,125,West Lothian,728,3,1,1,1,2,4,8,6,11,12,24,36,50,60,92,118,114,105,49,31,West Lothian,728,2,2,-,1,1,1,1,3,7,8,5,24,31,49,62,87,93,124,133,94,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Footnote:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1)  Figures for age group 90+ incude deaths where the deceased's age was not known.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
© Crown Copyright 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
